N0: H502(260) H4681(176) H511(150) H6279(138) H3131(120) H2871(120)
N353: H8006(149) H11391(144) H2696(99) H6222(98) H9952(91) H342(65)
N354: H5972(115) H9126(79) H4968(76) H9123(59) H1960(54) H10857(45)
N355: H9263(116) H3817(110) H1170(94) H3546(64) H4388(60) H4548(52)
N356: H3444(116) H7191(82) H9125(80) H3414(30) H7782(22) H4550(22)
N357: H1226(155) H9406(95) H6694(77) H2125(63) H11728(56) H4181(44)
N358: H4663(118) H5639(114) H10281(106) H6327(66) H2226(58) H6843(46)
N359: H8273(78) H5605(76) H2804(75) H7094(67) H1097(53) H6979(45)
N360: H248(68) H1584(60) H3592(56) H3654(50) H10635(40) H2239(28)
N361: H5538(158) H556(124) H11819(102) H4511(98) H118(60) H508(50)
N362: H7802(136) H2105(94) H5231(66) H8023(66) H10920(25) H7115(22)
N363: H4280(118) H2667(113) H114(110) H3399(108) H6230(86) H5329(83)
N364: H566(79) H5540(75) H4298(72) H3207(55) H8029(53) H5282(50)
N365: H6649(102) H10708(101) H8908(80) H1337(73) H6061(65) H5099(42)
N366: H3308(166) H6403(124) H735(117) H9329(88) H8867(55) H3667(43)
N367: H7815(136) H8577(82) H1616(61) H348(46) H6185(40) H3221(39)
N368: H5355(98) H8986(81) H10051(79) H628(78) H10407(73) H5589(51)
N369: H6629(153) H11294(142) H1954(132) H2065(114) H6421(110) H6620(109)
N370: H5284(135) H9328(116) H6910(100) H6316(66) H5059(61) H8782(56)
N371: H3706(90) H5707(86) H3598(34) H1884(20) H11253(20) H7266(20)
N372: H4176(75) H7729(55) H11635(55) H3962(46) H4491(37) H1398(36)
N373: H9400(106) H11092(103) H9899(97) H10384(76) H1833(69) H4570(57)
N374: H2033(108) H6991(98) H8405(94) H3302(94) H1385(68) H337(50)
N375: H6423(98) H1928(58) H892(56) H10098(56) H6961(54) H5602(54)
N376: H10634(120) H9944(118) H2423(90) H10227(76) H7776(66) H2811(40)
N377: H9274(98) H2416(90) H1997(77) H3290(73) H5834(58) H10462(57)
N378: H4036(234) H2138(214) H10049(124) H2762(121) H4111(114) H1816(100)
N379: H9898(68) H5479(66) H4667(62) H11955(60) H7967(38) H738(32)
N380: H3163(142) H10779(121) H10130(107) H6627(92) H833(77) H652(67)
N381: H4588(175) H7128(155) H1048(147) H11759(118) H4345(113) H10927(106)
N382: H8219(84) H770(83) H10197(71) H10372(54) H11971(50) H9295(42)
N383: H4004(60) H3895(55) H7692(55) H7320(50) H1124(50) H2071(45)
N384: H1074(58) H329(57) H4857(56) H9830(56) H11419(49) H4496(32)
N385: H2922(98) H8110(91) H5511(91) H3692(84) H8371(84) H11920(77)
N386: H1374(165) H11900(96) H2011(95) H5340(83) H1490(77) H11053(48)
N387: H2836(113) H458(87) H2827(87) H10060(81) H5035(73) H1575(73)
N388: H6355(44) H7203(38) H10010(24) H8847(22) H6539(20) H11735(15)
N389: H9303(48) H5152(43) H3884(41) H8473(39) H6256(34) H7910(29)
N390: H7418(95) H1395(86) H10625(83) H9252(74) H3585(65) H9900(61)
N391: H1947(144) H2303(109) H5830(106) H7840(97) H7059(78) H5382(51)
N392: H5415(100) H5533(88) H8047(69) H7206(58) H7380(30) H358(22)
N393: H5750(96) H9510(88) H3151(76) H5024(56) H7813(52) H1160(52)
N394: H11671(86) H3944(66) H5634(60) H1402(50) H2980(46) H11140(46)
N395: H653(166) H3002(132) H823(117) H8224(81) H467(75) H7256(73)
N396: H5180(168) H4571(112) H10772(78) H8433(68) H4362(59) H2525(53)
N397: H11155(138) H6153(135) H1451(127) H4247(124) H6724(93) H8865(67)
N398: H8600(38) H11268(34) H3120(32) H3610(29) H4060(27) H7332(27)
N399: H1550(127) H10481(122) H8564(119) H3594(103) H11527(75) H10917(66)
N400: H4527(175) H3528(165) H425(128) H10302(112) H8251(107) H10048(93)
N401: H7070(114) H9840(108) H4329(106) H318(94) H4213(90) H10748(68)
N402: H7165(104) H6314(98) H3172(87) H5806(86) H861(64) H11599(39)
N403: H3520(78) H4574(57) H4381(54) H9008(52) H3451(46) H9436(43)
N404: H7731(154) H3274(151) H2942(135) H9646(120) H2260(116) H5615(78)
N405: H6599(127) H9545(116) H6087(90) H6164(74) H4586(74) H8688(73)
N406: H11350(92) H10369(88) H678(72) H1877(68) H6798(68) H6828(68)
N407: H11841(154) H3802(143) H6084(133) H7822(125) H2215(120) H8059(88)
N408: H11532(94) H6817(20) H3393(16) H1946(14) H192(11) H9284(11)
N409: H8804(36) H7661(32) H6043(28) H9810(20) H1822(12) H2872(12)
N410: H10144(120) H2148(106) H11916(96) H3176(78) H10469(66) H3506(54)
N411: H10712(89) H5622(79) H11774(68) H4523(66) H10847(63) H5710(48)
N412: H8481(216) H4785(177) H4209(174) H3836(168) H3637(159) H197(147)
N413: H2903(93) H404(92) H11075(68) H1215(67) H3999(56) H235(56)
N414: H8723(120) H1553(106) H1116(99) H3569(64) H2522(54) H9702(53)
N415: H6262(123) H1058(122) H2293(110) H1498(98) H10613(97) H6306(88)
N416: H266(57) H2241(55) H485(42) H8372(41) H10781(35) H11960(34)
N417: H1528(96) H578(89) H2598(89) H7730(87) H8609(84) H4252(47)
N418: H6723(211) H6144(172) H11433(141) H6682(140) H1850(117) H4287(111)
N419: H1254(87) H6462(74) H10276(74) H2317(47) H5759(47) H6189(44)
N420: H697(141) H875(133) H10482(98) H434(81) H11875(69) H1436(49)
N421: H2968(130) H1387(116) H9105(92) H10640(87) H8636(58) H2044(57)
N422: H937(126) H10698(108) H8294(70) H285(64) H6488(62) H8327(62)
N423: H10897(152) H11743(118) H5948(115) H967(89) H9573(82) H1203(78)
N424: H2372(160) H8906(126) H5909(116) H4391(104) H416(98) H2123(96)
N425: H864(140) H4201(110) H3118(100) H7005(100) H3127(70) H2544(65)
N426: H8478(157) H2919(153) H11604(147) H5375(144) H9393(140) H2054(137)
N427: H9451(18) H6802(15) H10971(12) H4615(10) H45(9) H2319(7)
N428: H3611(77) H10023(70) H2852(63) H2300(49) H7031(49) H7021(42)
N429: H8041(100) H1568(95) H10129(93) H8504(74) H9940(74) H7243(74)
N430: H4279(97) H6381(80) H7806(64) H6957(54) H11890(52) H3261(47)
N431: H1239(146) H1274(104) H3951(104) H8927(99) H3899(99) H4627(62)
N432: H8400(80) H6534(77) H3066(72) H7117(64) H10987(36) H8989(24)
N433: H4629(102) H5374(72) H3988(66) H185(54) H1475(54) H10027(54)
N434: H638(96) H2572(93) H455(72) H916(50) H10509(35) H5263(33)
N435: H7927(88) H1559(72) H8676(62) H5921(40) H671(36) H4935(36)
N436: H10158(60) H7702(48) H10189(48) H940(42) H2129(42) H635(36)
N437: H6944(165) H5786(94) H4519(76) H11503(76) H7831(67) H10443(54)
N438: H11351(81) H1890(71) H4423(59) H11027(45) H6286(39) H1127(30)
N439: H11141(77) H8686(51) H8903(32) H8815(30) H6653(27) H6367(25)
N440: H6840(62) H492(55) H8644(32) H10217(25) H8413(19) H1491(9)
N441: H7060(95) H8049(95) H11446(82) H501(53) H1831(39) H2061(36)
N442: H4911(78) H2100(51) H7671(49) H8790(38) H5401(17) H5889(7)
N443: H7610(153) H8832(136) H4807(130) H11833(107) H1843(85) H2150(80)
N444: H10701(90) H793(80) H3747(70) H7566(60) H10794(30) H11338(30)
N445: H7261(92) H1852(76) H390(60) H10067(22) H1467(16) H11172(16)
N446: H8593(207) H7253(196) H8797(166) H629(149) H5886(120) H7254(116)
N447: H3490(13) H1922(12) H4836(11) H6902(8) H2546(8) H7368(8)
N448: H5789(46) H309(45) H3134(36) H11686(33) H9534(32) H811(26)
N449: H6497(92) H845(87) H10065(86) H7147(85) H2849(68) H933(61)
N450: H65(190) H9080(138) H9340(134) H9815(124) H10587(120) H5991(114)
N451: H5384(114) H3619(98) H4658(94) H7597(84) H6078(76) H11847(74)
N452: H5663(55) H4425(55) H11812(52) H6718(44) H11133(41) H4145(18)
N453: H1300(134) H8106(100) H5410(78) H5553(78) H11461(66) H0(63)
N454: H1110(132) H5664(76) H5098(74) H2175(60) H6173(58) H1484(56)
N455: H9517(173) H9385(142) H6825(125) H1612(106) H10486(93) H5550(86)
N456: H411(108) H5262(106) H2081(105) H11990(97) H5420(79) H7229(60)
N457: H2529(109) H11117(96) H11293(92) H11397(92) H11754(64) H522(58)
N458: H1477(138) H5077(116) H6161(110) H7101(74) H5485(73) H10128(69)
N459: H7716(34) H4306(31) H4353(31) H7224(27) H7228(25) H1054(24)
N460: H7080(45) H380(40) H9638(35) H6454(32) H7136(26) H2556(7)
N461: H8623(80) H3194(67) H3488(55) H11502(46) H782(30) H361(29)
N462: H6106(76) H3316(75) H8388(36) H1042(27) H9376(21) H3346(21)
N463: H9908(36) H8655(28) H11240(24) H1753(20) H5216(16) H894(16)
N464: H7274(60) H11181(40) H1790(29) H7357(23) H7906(20) H8404(18)
N465: H1867(193) H6837(170) H5400(145) H1622(133) H3337(85) H1541(51)
N466: H33(97) H1577(94) H11486(81) H8489(63) H6912(53) H803(34)
N467: H4438(88) H7808(80) H5584(50) H10866(43) H9404(39) H7533(34)
N468: H6296(128) H6136(111) H3590(110) H5788(102) H3089(96) H8486(88)
N469: H7300(186) H7933(164) H6592(162) H9389(132) H11273(124) H1811(110)
N470: H9692(102) H10588(96) H2376(85) H1303(71) H11522(67) H1788(63)
N471: H2859(187) H945(165) H8222(117) H4371(106) H919(100) H6658(85)
N472: H11832(94) H9337(80) H6459(63) H4228(46) H408(38) H889(38)
N473: H11136(94) H8500(78) H9365(75) H6243(67) H663(58) H1103(42)
N474: H9772(121) H8402(97) H9712(82) H10515(82) H2285(68) H11188(47)
N475: H8574(170) H5488(134) H10215(115) H10102(90) H4504(75) H9172(73)
N476: H325(37) H8538(34) H1152(22) H10724(22) H7494(19) H38(17)
N477: H601(49) H2756(38) H9970(28) H5161(18) H4692(16) H4732(15)
N478: H6175(118) H2600(114) H11894(104) H7444(98) H9846(92) H4043(60)
N479: H2670(119) H8204(117) H10936(106) H3868(87) H4502(79) H9750(60)
N480: H4149(148) H5924(145) H7898(145) H8419(132) H5336(64) H11510(59)
N481: H4115(179) H3737(126) H550(94) H6685(88) H10003(82) H1855(76)
N482: H5398(88) H5286(77) H3800(74) H2374(69) H6978(65) H278(56)
N483: H4443(20) H6834(12) H6921(12) H1329(12) H1474(10) H9888(10)
N484: H3484(211) H2607(148) H4994(121) H5418(100) H11642(93) H2541(66)
N485: H4474(54) H11455(51) H11055(45) H4016(45) H3428(45) H5764(45)
N486: H10450(69) H4793(56) H10503(56) H11597(53) H7476(44) H1591(32)
N487: H8096(144) H622(100) H8778(86) H1803(78) H391(71) H5804(69)
N488: H11302(106) H3099(94) H2320(74) H3031(62) H8236(54) H10124(48)
N489: H1731(155) H549(141) H182(79) H954(53) H10730(49) H9856(48)
N490: H11044(178) H10099(154) H1169(152) H8712(127) H6846(127) H6492(101)
N491: H10192(177) H5726(155) H5796(153) H4054(140) H6441(133) H9301(125)
N492: H4091(100) H4341(90) H11568(76) H9094(74) H8601(62) H6154(56)
N493: H2310(106) H7209(90) H9570(67) H11575(63) H4808(56) H8062(45)
N494: H5487(144) H5176(130) H10688(128) H7315(114) H9609(80) H2927(72)
N495: H5449(148) H2779(121) H5624(111) H7000(92) H3446(75) H5772(70)
N496: H1658(140) H2555(77) H10490(37) H5514(35) H11936(31) H7350(30)
N497: H6917(106) H8322(88) H2794(79) H7068(78) H1558(77) H1638(57)
N498: H11938(150) H7460(142) H10075(129) H7674(124) H2235(82) H5922(75)
N499: H1166(142) H25(138) H1772(125) H10033(119) H3945(109) H6036(93)
N500: H10052(95) H6114(81) H4786(69) H11383(66) H4546(59) H2102(56)
N501: H198(44) H6546(35) H10084(28) H1670(23) H3156(21) H6726(16)
N502: H2530(144) H6347(114) H6911(96) H8648(84) H3578(72) H388(54)
N503: H2392(232) H1598(132) H5716(115) H4873(61) H5802(52) H7149(52)
N504: H7945(166) H10297(117) H10909(96) H7186(78) H6382(65) H7688(61)
N505: H1009(98) H9395(74) H10725(58) H702(56) H2692(48) H2196(48)
N506: H1005(108) H6948(107) H6913(104) H11218(88) H7666(81) H3211(64)
N507: H6688(128) H7761(96) H8939(90) H4086(72) H5871(71) H1158(59)
N508: H4859(56) H10166(56) H2528(50) H6855(50) H3725(44) H4197(40)
N509: H3202(154) H1013(146) H1804(131) H792(125) H3326(124) H212(122)
N510: H3464(188) H1155(173) H4455(140) H10764(89) H6079(88) H4652(62)
N511: H6450(112) H10644(112) H11033(112) H2341(100) H6227(96) H9261(79)
N512: H2354(64) H2806(44) H1360(36) H5260(36) H5458(36) H2650(36)
N513: H4254(106) H8942(102) H11865(93) H9647(87) H10539(58) H2421(55)
N514: H2404(91) H9481(90) H10557(86) H10086(82) H4744(74) H9259(72)
N515: H11750(28) H9581(22) H7935(11) H9642(9) H3976(8) H6424(6)
N516: H4716(109) H8407(86) H9897(66) H8136(64) H10283(60) H8288(50)
N517: H4485(110) H4103(84) H8087(82) H625(73) H2463(50) H3424(47)
N518: H9998(120) H4026(88) H5903(78) H368(66) H9820(64) H7497(64)
N519: H9971(154) H7134(131) H66(115) H5440(112) H2509(84) H10648(82)
N520: H11621(59) H562(56) H7905(53) H9108(49) H4731(42) H8479(31)
N521: H11788(69) H1335(56) H7654(48) H11225(42) H4204(38) H3938(32)
N522: H5017(68) H9213(38) H5959(34) H11906(30) H3642(16) H493(10)
N523: H1361(75) H3504(51) H10570(50) H7058(47) H8363(23) H8516(18)
N524: H11539(121) H17(106) H3148(93) H7557(78) H9736(63) H9414(45)
N525: H2390(108) H8097(104) H11656(92) H2073(72) H11238(68) H547(46)
N526: H7745(170) H978(144) H5307(141) H3841(103) H5919(85) H6018(80)
N527: H5800(116) H6397(114) H3514(95) H1210(81) H10824(78) H7608(75)
N528: H4972(111) H2144(82) H2025(82) H4188(74) H8180(73) H710(53)
N529: H8282(156) H2185(136) H4158(122) H3378(102) H8794(98) H4536(85)
N530: H323(82) H6660(82) H4276(78) H10264(74) H3620(66) H2039(65)
N531: H5353(119) H10213(113) H6839(84) H2552(84) H9548(83) H9084(74)
N532: H9092(108) H9415(83) H11632(81) H2580(65) H6101(62) H5912(54)
N533: H10735(173) H1789(137) H8142(127) H1366(107) H789(85) H1349(84)
N534: H7740(61) H11554(59) H11689(44) H9007(39) H8984(35) H9946(31)
N535: H6992(59) H2405(56) H11952(36) H3197(35) H6648(35) H3470(26)
N536: H10723(72) H5234(45) H3625(29) H6833(29) H6958(27) H3035(23)
N537: H8934(145) H602(115) H1540(100) H322(99) H10155(92) H11286(75)
N538: H293(128) H11440(125) H11301(110) H9724(92) H7852(88) H8093(87)
N539: H4559(128) H3317(119) H6006(101) H428(98) H466(84) H1688(82)
N540: H5319(130) H10458(126) H11525(114) H6179(106) H9051(92) H9101(92)
N541: H6366(110) H1752(103) H2891(103) H2701(101) H8231(100) H6482(91)
N542: H8863(59) H5068(57) H11590(55) H5050(32) H7028(28) H1245(21)
N543: H958(76) H2292(68) H4774(68) H11984(56) H11078(44) H1481(18)
N544: H2712(153) H1296(144) H6045(141) H7684(129) H1798(117) H1793(105)
N545: H9452(130) H5998(120) H3177(117) H5276(103) H1617(96) H5033(85)
N546: H1740(75) H5346(65) H1628(55) H8869(54) H11333(47) H1010(32)
N547: H221(72) H1321(32) H1608(32) H3910(32) H855(32) H9633(24)
N548: H1340(178) H721(168) H5568(120) H3363(116) H10617(108) H677(80)
N549: H8613(135) H5492(126) H2051(102) H6743(101) H3328(95) H8596(88)
N550: H3193(146) H9198(117) H10538(111) H3695(100) H1256(99) H5463(97)
N551: H6345(143) H9531(102) H29(98) H11662(93) H8392(65) H3774(38)
N552: H4720(132) H9705(108) H798(89) H1582(88) H2604(81) H137(71)
N553: H8830(118) H2875(94) H2412(86) H11724(81) H9665(59) H3227(55)
N554: H3033(96) H11956(84) H2094(78) H1198(74) H5885(72) H7109(50)
N555: H5905(124) H7675(115) H4697(109) H166(91) H994(71) H5801(71)
N556: H2031(179) H8528(128) H10001(113) H369(95) H10022(81) H3735(59)
N557: H10504(92) H9024(82) H10249(81) H2740(72) H8728(71) H10714(66)
N558: H86(137) H7784(89) H3046(63) H3067(56) H10799(42) H1208(25)
N559: H1771(136) H3603(136) H11676(131) H1407(129) H615(122) H10470(118)
N560: H570(101) H8329(72) H48(60) H6793(58) H8954(53) H6657(46)
N561: H6325(133) H228(98) H6748(97) H10665(88) H4215(84) H5932(70)
N562: H5973(95) H3270(93) H8094(69) H11593(69) H8868(27) H2056(24)
N563: H4132(191) H2925(180) H6988(149) H11886(105) H1754(81) H3102(50)
N564: H5557(134) H7717(124) H11862(94) H5580(76) H8071(76) H10804(74)
N565: H8907(75) H11003(74) H11347(63) H6158(54) H4900(29) H4520(27)
N566: H852(100) H5208(100) H3916(82) H8501(80) H10551(78) H6783(62)
N567: H11589(108) H11498(104) H553(96) H8879(84) H11557(68) H7599(56)
N568: H1776(110) H7774(83) H10115(83) H10376(71) H5504(39) H8696(39)
N569: H7639(0) H9546(0) H10913(0) H9698(0) H9227(0) H3929(0)
N570: H3865(114) H7468(105) H672(101) H2784(97) H3073(94) H7710(89)
N571: H7896(102) H499(101) H8188(95) H8031(92) H7959(76) H10393(66)
N572: H11678(123) H707(80) H7455(79) H6112(78) H7746(59) H11889(59)
N573: H3519(83) H4822(83) H7212(81) H3587(62) H5860(59) H868(47)
N574: H1235(194) H10840(130) H3259(124) H7883(121) H10686(69) H11304(65)
N575: H9923(171) H7365(144) H2307(106) H1952(104) H9871(93) H9981(79)
N576: H11423(206) H9379(175) H5951(133) H8692(104) H679(91) H6181(91)
N577: H1965(86) H6440(80) H6174(60) H11966(58) H270(42) H7571(22)
N578: H2479(100) H771(95) H8673(90) H8416(74) H326(73) H2565(71)
N579: H11941(140) H8017(124) H7880(113) H9026(111) H5281(93) H1794(84)
N580: H2948(122) H7481(102) H2347(100) H6737(43) H10345(30) H354(25)
N581: H5496(72) H9349(61) H8244(53) H6229(43) H11000(37) H8950(34)
N582: H1898(102) H3827(90) H1756(60) H5241(50) H5278(48) H6954(24)
N583: H2221(106) H5073(73) H4482(72) H6214(62) H8892(35) H5441(35)
N584: H7856(71) H4127(68) H10315(52) H8173(47) H1424(36) H9967(30)
N585: H2454(56) H7653(50) H9818(43) H3293(38) H7554(38) H9346(33)
N586: H7757(172) H207(158) H8694(105) H146(97) H3019(71) H10755(46)
N587: H59(123) H7215(107) H8428(107) H11843(95) H11353(81) H241(74)
N588: H4521(114) H2665(105) H7734(92) H8616(90) H11490(57) H7116(50)
N589: H5913(108) H4539(95) H8543(90) H1927(75) H6074(74) H3813(73)
N590: H3085(186) H7438(154) H120(114) H5318(113) H8119(104) H3367(95)
N591: H2478(110) H7155(104) H3565(79) H6720(60) H7248(39) H8997(36)
N592: H8670(75) H4688(58) H2228(45) H3379(40) H10160(37) H10306(27)
N593: H7711(120) H1020(84) H11452(77) H7951(76) H5590(72) H10289(66)
N594: H7559(59) H9932(58) H8191(50) H2068(42) H1993(41) H4406(39)
N595: H2014(122) H6976(114) H9613(114) H6496(92) H11620(92) H10599(58)
N596: H3395(51) H11977(40) H3439(39) H10938(39) H8496(35) H1534(25)
N597: H6732(112) H1664(106) H10341(91) H4141(65) H1302(37) H1148(33)
N598: H1589(74) H11783(62) H7941(43) H10507(42) H10972(31) H10816(10)
N599: H6746(184) H10073(132) H7443(125) H4866(102) H7648(96) H9344(96)
N600: H6554(62) H9765(62) H1738(56) H8247(52) H4364(42) H244(32)
N601: H2457(71) H11766(65) H2451(58) H1421(57) H10373(36) H1143(17)
N602: H1244(152) H5727(146) H10675(106) H5828(98) H5067(94) H4206(94)
N603: H7580(59) H5185(46) H6244(38) H4434(37) H8293(27) H3178(26)
N604: H2789(145) H3152(116) H6004(105) H6131(98) H10726(65) H2710(57)
N605: H3900(159) H1599(153) H7470(114) H8750(66) H7530(57) H239(57)
N606: H6064(160) H4430(144) H8656(93) H701(76) H7001(73) H930(68)
N607: H402(137) H9455(89) H2630(80) H10583(76) H9044(71) H7799(70)
N608: H8955(119) H3092(96) H6176(96) H11989(75) H9650(72) H1185(69)
N609: H10843(144) H7929(84) H6486(75) H8285(69) H10236(69) H4315(69)
N610: H1128(110) H2866(76) H3922(75) H4283(63) H2219(50) H4022(34)
N611: H10627(158) H7067(144) H7480(113) H6542(92) H11403(90) H9405(73)
N612: H5736(108) H6191(103) H365(63) H9307(62) H8323(55) H3072(52)
N613: H6778(172) H202(124) H4610(124) H3391(107) H8025(97) H8864(94)
N614: H11278(71) H496(65) H1511(60) H1909(49) H7498(44) H11764(30)
N615: H10963(152) H6109(124) H11478(117) H857(111) H3345(98) H6587(73)
N616: H37(174) H9493(148) H4756(94) H3518(91) H10862(87) H10947(74)
N617: H1334(48) H2523(48) H2821(30) H8904(30) H2279(24) H6799(12)
N618: H1182(220) H9728(139) H3601(128) H7869(85) H4784(76) H333(75)
N619: H276(124) H156(124) H11524(124) H8320(112) H4373(86) H5195(86)
N620: H2433(153) H2103(135) H957(132) H8689(108) H2654(99) H3570(99)
N621: H10318(47) H5256(40) H9440(30) H1400(18) H10709(18) H5934(15)
N622: H10643(52) H8982(48) H9948(36) H5111(34) H2738(20) H8943(20)
N623: H6984(48) H6626(36) H5259(22) H2158(20) H10455(20) H3454(20)
N624: H8679(137) H6194(112) H10498(102) H227(99) H3489(92) H9740(82)
N625: H7269(83) H8856(82) H261(70) H8313(56) H6849(54) H7175(54)
N626: H4695(148) H5079(98) H6776(82) H2810(76) H11772(65) H5655(55)
N627: H6936(200) H7614(170) H7048(152) H9525(137) H6933(130) H969(109)
N628: H4102(158) H4953(141) H1875(134) H6871(125) H8620(119) H9424(100)
N629: H7833(131) H2648(114) H8364(114) H5097(92) H1461(88) H4946(77)
N630: H1186(57) H1425(40) H5954(38) H5081(29) H883(28) H10239(22)
N631: H8349(108) H1539(106) H4238(75) H9435(70) H2833(66) H7349(58)
N632: H4820(90) H8424(78) H3086(74) H4696(73) H8550(72) H10983(44)
N633: H344(86) H7915(78) H10063(70) H1156(54) H8114(44) H6481(38)
N634: H9806(178) H2343(151) H3676(139) H11276(113) H5499(110) H9582(65)
N635: H11602(164) H2923(126) H10218(114) H9499(108) H1224(96) H6722(76)
N636: H3349(120) H8453(90) H2853(88) H11677(88) H1298(78) H11627(70)
N637: H4048(125) H6914(104) H1538(64) H2003(53) H9977(51) H5088(47)
N638: H972(63) H10535(45) H6076(36) H9234(36) H3853(27) H9657(27)
N639: H8713(158) H3117(143) H189(136) H1419(109) H1832(91) H10416(83)
N640: H10442(114) H4830(105) H6982(97) H10274(84) H7620(69) H3098(55)
N641: H7290(132) H1563(88) H5417(67) H3946(65) H9644(63) H2237(52)
N642: H1164(136) H8793(67) H5190(61) H7199(40) H8389(36) H9040(33)
N643: H1581(61) H10403(45) H8607(22) H11964(22) H4800(18) H1311(17)
N644: H3742(151) H8691(120) H7132(108) H11488(88) H3521(86) H4853(78)
N645: H4398(99) H9917(87) H5036(63) H1273(56) H10685(37) H1356(31)
N646: H4903(75) H1144(63) H10410(45) H6055(40) H8081(29) H993(20)
N647: H667(75) H6490(73) H8260(64) H1411(57) H8338(55) H8722(38)
N648: H7888(139) H1204(114) H2527(111) H9674(103) H10391(55) H6929(55)
N649: H4783(124) H10272(106) H561(83) H1792(82) H7026(77) H5621(53)
N650: H11073(121) H1948(107) H8657(105) H545(57) H9714(54) H4355(34)
N651: H4108(143) H9100(115) H7509(114) H11169(113) H7983(103) H3673(94)
N652: H8134(113) H2302(40) H2505(33) H9994(30) H9495(30) H9480(28)
N653: H10139(63) H10999(63) H7657(33) H3906(27) H9893(24) H3195(24)
N654: H7050(117) H2209(106) H5273(87) H9047(84) H9142(45) H6475(40)
N655: H5211(139) H8476(121) H7142(105) H5770(101) H3772(94) H7581(93)
N656: H10381(112) H11097(98) H5503(84) H4597(70) H5271(35) H8956(28)
N657: H11719(76) H776(75) H6390(62) H11148(45) H9041(44) H4957(42)
N658: H8276(111) H8725(83) H9215(82) H7965(60) H5784(59) H6596(57)
N659: H2035(67) H7860(63) H1369(58) H9183(51) H9321(51) H10550(32)
N660: H3185(60) H4871(60) H2781(52) H8451(36) H9014(36) H3804(24)
N661: H11062(102) H10747(92) H8580(68) H11667(46) H11296(42) H1525(36)
N662: H9290(70) H5018(66) H4623(50) H54(48) H5751(38) H10165(20)
N663: H8941(86) H9933(78) H8919(78) H7492(68) H4616(44) H8717(42)
N664: H5848(84) H3839(70) H7431(61) H3734(41) H10168(40) H7919(40)
N665: H6769(160) H5082(128) H9788(126) H6217(102) H8290(88) H4361(82)
N666: H5936(199) H2167(172) H4274(162) H7507(149) H761(132) H3795(132)
N667: H9744(122) H9396(97) H709(83) H6806(67) H9872(51) H1566(34)
N668: H1000(206) H10017(194) H3325(166) H10948(162) H446(124) H3955(88)
N669: H5287(93) H2157(90) H2880(62) H139(60) H2703(48) H5402(46)
N670: H11076(90) H6128(71) H4725(68) H4178(56) H10986(55) H11768(47)
N671: H4407(66) H6284(66) H4021(54) H263(45) H8787(42) H624(33)
N672: H5636(25) H8983(20) H10541(19) H11685(16) H142(14) H2315(13)
N673: H11042(142) H9586(139) H6593(111) H5497(81) H7629(69) H9937(58)
N674: H3917(140) H3954(102) H410(100) H10522(100) H651(96) H8397(80)
N675: H3678(139) H8088(119) H9687(103) H4966(97) H8011(92) H755(76)
N676: H2931(148) H9618(142) H3242(138) H8048(114) H5424(100) H5238(96)
N677: H9275(57) H9727(51) H616(36) H1531(33) H1911(30) H11617(24)
N678: H5156(108) H6696(95) H1076(36) H6015(10) H3687(10) H3047(10)
N679: H9362(139) H5697(119) H10778(117) H4131(93) H9113(50) H4472(44)
N680: H6560(89) H1881(79) H3244(58) H486(46) H6369(41) H7370(40)
N681: H11566(96) H9347(90) H11299(90) H2177(80) H10151(76) H595(76)
N682: H4733(128) H8546(111) H4182(109) H279(92) H9910(87) H7321(68)
N683: H6518(125) H4567(116) H9741(116) H2349(101) H4171(93) H11412(86)
N684: H3231(166) H7647(84) H2353(55) H11344(47) H10845(47) H8732(47)
N685: H6456(63) H9560(60) H10359(57) H2587(47) H6908(40) H5453(19)
N686: H11147(70) H9841(59) H7376(44) H9532(34) H7258(24) H893(23)
N687: H5734(144) H4653(142) H11923(84) H5669(78) H11633(73) H3249(45)
N688: H8070(120) H11385(117) H7617(110) H10134(110) H6489(95) H2198(92)
N689: H415(96) H10903(74) H6119(61) H985(59) H3669(47) H459(45)
N690: H5298(60) H5411(60) H3009(58) H10934(55) H5386(53) H5115(51)
N691: H4366(113) H10496(109) H11767(109) H11174(105) H9722(90) H3748(89)
N692: H6801(60) H5199(53) H11063(52) H6066(49) H5147(44) H9805(37)
N693: H11584(125) H5169(110) H10939(105) H8857(100) H6665(90) H5363(80)
N694: H4442(148) H2893(129) H10529(128) H11609(119) H5132(118) H10167(114)
N695: H3462(58) H11655(45) H9279(44) H8494(43) H3510(38) H6742(28)
N696: H2706(83) H7208(79) H9296(77) H11933(73) H7425(15) H5825(13)
N697: H11871(158) H2036(156) H11039(151) H10433(118) H7133(95) H7384(89)
N698: H9656(132) H4772(108) H7064(88) H6315(87) H3689(50) H7172(48)
N699: H1743(43) H5537(30) H2490(30) H3421(29) H5274(23) H3494(20)
N700: H2193(152) H11725(145) H10293(136) H9273(134) H3907(123) H10356(114)
N701: H11191(128) H11842(116) H6460(102) H7583(82) H5559(72) H7578(68)
N702: H6500(79) H8073(69) H10190(68) H6233(65) H3405(49) H4952(49)
N703: H960(126) H6447(89) H3890(68) H11848(59) H5891(54) H5869(50)
N704: H7611(77) H6555(51) H4123(45) H10780(41) H7913(33) H6730(21)
N705: H804(151) H2301(120) H506(105) H438(80) H2134(67) H4203(55)
